instance_name,theta,gamma,objective_value,termination_condition,number_of_variables,number_of_constraints,mip_gap,solver_time_s,total_wall_time_s,best_bound,node_count,milling_loss_t,standover_t,total_distance_km,atr_revenue
100B_6F_robust_gamma_0d75_theta_0d05199999999999999,0.05199999999999999,0.75,258595624.52446476,maxTimeLimit,3061121,120301,0.05726545835596448,3600.242511987686,3719.04,273404221.4917051,,"(0.0,)","(135004.58999999994,)","(3171.2081547260937,)",423797768.63424003
100B_6F_robust_gamma_1_theta_0d05199999999999999,0.05199999999999999,1,251118557.46953836,optimal,3061121,120301,0.0003244171203881107,884.7227351665497,1003.6,251200024.62882864,,"(0.0,)","(135004.59000000116,)","(3343.3245145170076,)",423797768.63424
50B_3F_robust_gamma_0d025_theta_0d05199999999999999,0.05199999999999999,0.025,131381598.43061307,maxTimeLimit,390571,30471,0.013926249944614976,3600.0489819049835,3614.45,133211251.40848082,,"(302271.6999999999,)","(0.0,)","(4203.2662505633125,)",232153802.49599987
50B_3F_robust_gamma_0d05_theta_0d05199999999999999,0.05199999999999999,0.05,127832942.54500532,maxTimeLimit,390571,30471,0.014175530280776744,3600.093463897705,3613.49,129645042.29293284,,"(302271.8703961676,)","(0.17039616895453946,)","(4144.413277173137,)",232153749.59412426
50B_6F_robust_gamma_0d025_theta_0d05199999999999999,0.05199999999999999,0.025,130946387.48414864,maxTimeLimit,780571,60351,0.017308877899103434,3600.079701900482,3627.97,133212922.51644045,,"(302271.69999999995,)","(0.0,)","(3935.3854023531303,)",232153802.49599978
50B_6F_robust_gamma_0d05_theta_0d05199999999999999,0.05199999999999999,0.05,129534975.47149734,optimal,780571,60351,0.0008691898939763234,3126.5906071662903,3153.72,129647565.96309364,,"(302271.7000000006,)","(0.0,)","(4573.004696250053,)",232153802.496
75B_3F_robust_gamma_0d025_theta_0d05199999999999999,0.05199999999999999,0.025,328409871.49463683,maxTimeLimit,867096,45596,0.022563956336573255,3600.13360786438,3631.04,335820097.49554145,,"(0.0,)","(0.0,)","(4829.689718523621,)",344828639.23199993
75B_3F_robust_gamma_0d05_theta_0d05199999999999999,0.05199999999999999,0.05,321348327.4126824,maxTimeLimit,867096,45596,0.03119889911579205,3600.092833995819,3630.4,331374041.4606592,,"(0.0,)","(0.0,)","(5232.149520631461,)",344828639.23199993
75B_6F_robust_gamma_0d025_theta_0d05199999999999999,0.05199999999999999,0.025,334432287.98304087,optimal,1733346,90326,0.0041525202237374425,3212.62424492836,3275.89,335821024.82236123,,"(0.0,)","(0.0,)","(7158.68935890057,)",344828639.23200023
75B_6F_robust_gamma_0d05_theta_0d05199999999999999,0.05199999999999999,0.05,329225486.6306599,maxTimeLimit,1733346,90326,0.006528098175895331,3600.168564081192,3664.84,331374702.92939174,,"(0.0,)","(0.0,)","(7937.647359157875,)",344828639.2320001
100B_3F_robust_gamma_0d025_theta_0d05199999999999999,0.05199999999999999,0.025,380783944.540031,maxTimeLimit,1531121,60721,0.035267165831740006,3600.095866203308,3655.91,394213115.0581884,,"(0.0,)","(135004.5899999998,)","(6032.03361873674,)",423797768.63424
100B_3F_robust_gamma_0d05_theta_0d05199999999999999,0.05199999999999999,0.05,365258747.69217634,maxTimeLimit,1531121,60721,0.0670300477076246,3600.0966930389404,3655.39,389742058.97561014,,"(0.0,)","(135004.58999999988,)","(4961.510244032533,)",423797768.63424027
100B_6F_robust_gamma_0d025_theta_0d05199999999999999,0.05199999999999999,0.025,389501592.0074813,maxTimeLimit,3061121,120301,0.012099329700845096,3600.1978781223297,3714.77,394214300.18818384,,"(0.0,)","(135004.58999999988,)","(6891.015639496654,)",423797768.63423955
100B_6F_robust_gamma_0d05_theta_0d05199999999999999,0.05199999999999999,0.05,383646733.95546144,maxTimeLimit,3061121,120301,0.015890649545794926,3600.2491030693054,3717.55,389743129.7541365,,"(0.0,)","(135004.5899999998,)","(8440.02313761801,)",423797768.6342393
